current,name,place,url
Y,Zhenwen Dai,,http://staffwww.dcs.shef.ac.uk/people/Z.Dai/
Y,Andreas Damianou,,http://staffwww.dcs.sheffield.ac.uk/people/A.Damianou/index.html
Y,Javier Gonzalez,,http://javiergonzalezh.github.io/
Y,Michael Smith,,
Y,Alessandra Tosi,,http://www.cs.upc.edu/~atosi/
Y,Fariba Yousefi,,
N,Mu Niu,Post-doc at University of Glasgow,http://www.gla.ac.uk/schools/mathematicsstatistics/staff/muniu/
N,Teo de Campos,Research Fellow at University of Surrey,http://personal.ee.surrey.ac.uk/Personal/T.Decampos/
N,Nicolas Durrande,"Ecole des Mines, St-Etienne",https://sites.google.com/site/nicolasdurrandehomepage/
N,James Hensman,"Research Fellow at the University of Sheffield",http://staffwww.dcs.sheffield.ac.uk/people/J.Hensman/
N,Ciira wa Maina,"Lecturer  at Dedan Kimathi University of Technology",https://sites.google.com/site/cwamainadekut/
N,Jie Hao,Researcher at Imperial College,http://www.imperial.ac.uk/people/j.hao
N,Jaakko Peltonen,Finnish Academy Fellow at Aalto University,http://users.ics.aalto.fi/jtpelto/
N,Michalis Titsias,Lecturer at University of Athens,http://www.aueb.gr/users/mtitsias/
N,Pei Gao,"Department of Epidemiology and Biostatistics, Peking University",https://uk.linkedin.com/pub/pei-gao/36/842/3b5
N,Guido Sanguinetti,Reader at Edinburgh Computer Science,http://homepages.inf.ed.ac.uk/gsanguin/
N,Huma Lodhi,Researcher at University of Warwick,http://www2.warwick.ac.uk/fac/sci/eng/staff/hml/
