current,given,prefix,family,suffix,place,url,pdra
N,Zhenwen,,Dai,,Researcher at Spotify,http://zhenwendai.github.io/,Y
N,Andreas,,Damianou,,Researcher at Amazon,https://adamian.github.io/,Y
N,Javier,,Gonzalez,,Senior Researcher at Microsoft Research,http://javiergonzalezh.github.io/,Y
N,Luisa,,Cutillo,,Lecturer in Statistics at University of Leeds,https://physicalsciences.leeds.ac.uk/staff/1526/dr-luisa-cutillo,Y
N,Michael T.,,Smith,,Post-doc at the University of Sheffield,http://www.michaeltsmith.org.uk/,Y
N,Alessandra,,Tosi,,Resarcher at Mind Foundry,http://www.robots.ox.ac.uk/~atosi/index.html,Y
N,Fariba,,Yousefi,,PhD Student at the University of Sheffield,,Y
N,Mu,,Niu,,Post-doc at University of Glasgow,http://www.gla.ac.uk/schools/mathematicsstatistics/staff/muniu/,Y
N,Teo,de,Campos,,Research Fellow at University of Surrey,http://personal.ee.surrey.ac.uk/Personal/T.Decampos/,Y
N,Nicola,,Durrande,,Researcher at Prowler.io,https://sites.google.com/site/nicolasdurrandehomepage/,Y
N,James,,Hensman,,Principal Scientist at Amazon,http://jameshensman.github.io/,Y
N,Ciira,,Maina,,"Senior Lecturer  at Dedan Kimathi University of Technology",https://sites.google.com/site/cwamainadekut/,Y
N,Jie,,Hao,,Researcher at Imperial College,http://www.imperial.ac.uk/people/j.hao,Y
N,Jaakko,,Peltonen,,Finnish Academy Fellow at Aalto University,http://users.ics.aalto.fi/jtpelto/,Y
N,Michalis,,Titsias,,Research Scientist at DeepMind,http://www.aueb.gr/users/mtitsias/,Y
N,Pei,,Gao,,"Department of Epidemiology and Biostatistics, Peking University",https://uk.linkedin.com/pub/pei-gao/36/842/3b5,Y
N,Guido,,Sanguinetti,,Professor of Computational Biology at Edinburgh Computer Science,http://homepages.inf.ed.ac.uk/gsanguin/,Y
N,Huma,,Lodhi,,"Lead Machine Learning Engineer at Sky",https://www.linkedin.com/in/huma-lodhi-ab33182a,Y
